Latitude,Longitude
51.95362,-0.28469
51.74777222,-1.31353129
51.64235898,-2.67373463
12.98912003,77.73007572
43.02856445,-78.67676468
40.7142,-74.0064
25.97734614,-80.28091469
34.08148952,-118.36124003
51.23709,-0.57048
51.95640398,-1.33833264
26.61231079,-81.61081365
52.232222,21.008333
45.75975883,-73.56725453
54.59341431,-5.81766733
13.6970269,100.75115204
51.48645394,-0.00049936
43.1557,-77.6204
52.91765398,-1.46989346
51.50931401,-0.13983965
45.63697547,-73.56726563
38.93929762,-77.02619009
53.75869751,-0.31224317
50.14489136,9.00522368
54.7178187,-1.7351106
30.43660814,-97.83672113
35.68,139.77
45.63697547,-73.56726563
21.0,77.0
51.0595118,-1.3380995
33.61957,-78.97375
52.232222,21.008333
-1.28333,36.8167
51.50013926,-0.12450144
48.1739745,16.41560835
40.8958,-74.5174
46.2035,-119.159
40.7,-73.8309
35.2269,-80.8433
51.50538967,-0.12485951
45.75975883,-73.56725453
40.7332086,-74.00187056
51.53928,0.0813
31.7833,35.2167
45.6677507,-73.47935661
28.53785863,77.20011416
55.852472,-4.309626
26.12739,-80.24515
51.55913862,0.64822541
51.40443684,-0.34032941
49.24963985,-123.12713019
51.5141,-0.1094
33.61957,-78.97375
53.36853317,-6.28034668
38.9394819,-77.0254045
45.6677507,-73.47935661
22.3,73.2
51.23709,-0.57048
43.599,-83.8876
51.50413561,-0.13608912
49.22826439,-123.04986139
-36.847,174.765
-35.01551565,117.89735451
51.4853,-3.1867
51.50538967,-0.12485951
25.97734614,-80.28091469
52.232222,21.008333
54.08989,-4.629734
51.50538967,-0.12485951
53.00778835,-2.18091488
45.75975883,-73.56725453
51.48953353,-3.16697342
28.53861577,77.27617188
45.63697547,-73.56726563
53.36853317,-6.28034668
29.948479,-90.070864
-26.21659308,28.06045532
51.50538967,-0.12485951
14.57232502,121.17746969
36.50293,30.524
53.34411666,-6.26174338
51.6301173,0.81552029
45.63697547,-73.56726563
51.5014656,-0.3866624
40.7510953,-73.8728801
45.75975883,-73.56725453
28.53861577,77.27617188
-1.26564779,36.80487395
-23.61724,-46.680538
-29.6167,30.3833
51.2044998,-2.37860723
-37.8061,144.97894
51.23709,-0.57048
61.19205802,-149.91172573
-6.15136177,106.85933453
51.57061738,0.58585882
51.82305089,-2.50935448
45.63697547,-73.56726563
44.4414,26.0971
52.232222,21.008333
35.2269,-80.8433
43.7128842,-79.4518027
52.47900967,1.74448587
38.8914,-77.0854
53.38598633,-6.42167013
43.07472222,-89.38444444
40.7142,-74.0064
51.378,0.0192
45.49987026,-73.56300186
33.3815,-84.2896
-1.292066,36.821945
33.92908293,-118.32228472
29.74543,-95.365631
29.948479,-90.070864
34.032338,-81.036805
43.7128842,-79.4518027
35.23376465,-83.16368991
56.4745601,-2.85224397
30.7229,76.7807
53.28219604,-2.1327157
37.9828063,-122.0772753
25.97734614,-80.28091469
40.7061,-74.5497
40.7142,-74.0064
34.40691364,-118.45229878
38.31271872,-122.48249707
38.3032,-77.4607
30.6911,76.8486
51.50538967,-0.12485951
41.2477858,-75.8755668
50.58070225,-3.46456672
44.84153643,-79.90450421
12.97287589,77.57028669
41.084218,-73.419035
16.8151,96.1661
33.681375,-84.44507
35.2269,-80.8433
40.7332086,-74.00187056
48.77251,9.17439
40.73782699,-73.95370709
51.50538967,-0.12485951
53.00778835,-2.18091488
33.9998627,-118.79923186
51.50538967,-0.12485951
-33.87270164,18.63399913
51.5033,0.1195
2.9317,101.6928
52.91765398,-1.46989346
40.7332086,-74.00187056
40.8626822,-74.4697995
20.97096663,-89.61669087
51.50538967,-0.12485951
55.75745792,-4.27655263
33.97331619,-117.72729205
31.7658,-106.489
40.7493,-73.8531
30.5611,-97.8603
35.1422513,-89.7972231
51.4511687,-2.00030741
35.85615,-86.43113
40.7332086,-74.00187056
39.4014,-76.479
29.948479,-90.070864
34.40691364,-118.45229878
29.948479,-90.070864
43.64713,-79.5133
29.1572572,48.1170555
33.8752,-117.5655
52.3870393,4.6291026
38.5763,-121.4927
33.61695,-117.93033
52.3769,4.8982
37.3376,-121.8865
38.93929762,-77.02619009
45.50737331,-75.60755991
32.20328665,35.27024422
41.6572525,-72.6655757
14.56630464,121.01017797
53.53916667,-113.42166667
51.88466693,0.82794859
34.40691364,-118.45229878
51.50766391,-0.14251434
14.61531213,121.03790045
39.9372,-75.1062
14.6439,121.037
25.32147972,51.3375081
14.4483,120.9845
55.9546,-3.2087
34.0006,-81.0442
46.2877,-119.2744
51.50538967,-0.12485951
40.7332086,-74.00187056
51.88925396,-2.27692723
26.12739,-80.24515
32.79048555,-96.81027835
51.4092956,-0.3336511
40.7142,-74.0064
52.232222,21.008333
38.86536,-76.97365
51.5141,-0.1094
54.48186583,-8.2775187
41.3854908,-75.7080613
29.4167,-98.5
22.2553,-97.8686
40.6819,-73.692001
48.1739745,16.41560835
51.52786255,-3.23027726
50.8168,-0.3643
35.2269,-80.8433
51.45974211,-0.92109082
51.50538967,-0.12485951
51.50538967,-0.12485951
40.7207559,-74.0007613
52.19292962,0.13466835
52.232222,21.008333
31.44843289,-97.78165698
29.72380706,-95.41891631
51.79634,-0.0827
51.48217862,-0.18016398
42.3258375,-72.24840006
53.4793,-2.2463
40.9399,-74.1182
19.08330008,72.83874393
34.0564,-118.2445
32.7155,-117.1585
52.9492,-1.1453
36.1697096,-115.1236952
51.5141,-0.1094
53.09185501,-8.22081949
40.71296374,-73.90104095
14.5896,120.9808
38.8951,-77.0367
59.30969238,18.06458097
26.1358,-80.1418
34.84944979,-92.4005796
42.9833,-81.25
28.14604,-80.59869
41.883222,-87.632496
19.0627,72.8764
54.15436346,-2.47140884
53.5595,-0.03938
35.76388599,10.74647231
40.6819,-73.692001
32.84536,-96.79699
38.93947091,-77.02539399
33.19737582,-117.24610669
37.87932468,23.76359487
45.51173,-122.6584
54.98233004,-1.47375243
45.518237,-122.678249
53.79578995,-1.55327312
37.9781543,-75.83994976
46.51124335,-80.96087138
49.48125171,-119.57885828
30.5681,-100.644
40.7510953,-73.8728801
-34.12645,18.44933
56.2228,-2.70104
51.50538967,-0.12485951
34.99099099,-85.13690569
52.52454,6.42262
47.7167,-52.7167
43.65052631,-79.38843996
39.04355,-77.11135
51.50538967,-0.12485951
33.10295558,-111.49265827
34.0633,-118.1229
36.12072,-115.19131
40.707042,-73.828009
30.7229,76.7807
53.4010252,-2.9709023
23.60278206,58.4572907
59.84937532,10.81211589
34.18018018,-78.01582734
30.26584682,-97.75179509
42.08120711,-83.24310863
25.97734614,-80.28091469
40.6819,-73.692001
41.90503946,-80.54584941
46.05761,-64.80031
52.232222,21.008333
45.4643,9.1897
53.4793,-2.2463
57.04076486,-3.23010921
28.14604,-80.59869
50.37520562,-4.1367841
18.68144421,-68.41222645
40.75794459,-73.98552775
40.7142,-74.0064
44.04016,-79.45853
37.00748198,-121.57053318
41.15,-8.61667
53.37411963,-6.19942791
40.01709786,116.52099609
38.8951,-77.0367
34.11770561,-118.37592516
37.7793,-122.419
53.38153109,-2.94456014
55.94757222,-3.19163056
30.2677,-97.7475
52.232222,21.008333
40.7426226,-74.00384456
43.7742911,-79.7164011
21.2992,-157.856
47.6046,-122.3308
40.7332086,-74.00187056
40.7207559,-74.0007613
40.7142,-74.0064
33.86557007,-84.2272452
51.72702816,-0.08789063
49.6975,-112.834
51.57061738,0.58585882
33.53545279,-101.96454229
32.7833,-96.8
41.24288,-77.00182
25.687,-80.3658
43.10114487,-76.1507621
19.4326,-99.1332
38.3538,-121.973
39.5,-111.5
21.31432,-158.00833
-43.530047,172.63722222
